Polluant: Dioxyde d'azote (NO2)
Moyennes journalières
Unité: ug/m3
Source: NABEL
Date/heure;Magadino-Cadenazzo;Chaumont
01.01.2024;13.5;0.8
02.01.2024;25.6;0.8
03.01.2024;29.4;0.8
04.01.2024;30.6;1.1
05.01.2024;22.8;2.4
06.01.2024;8.9;1.6
07.01.2024;3.6;5.1
08.01.2024;16.0;5.6
09.01.2024;17.0;8.7
10.01.2024;18.9;3.7
11.01.2024;25.1;9.4
12.01.2024;31.6;4.9
13.01.2024;30.4;0.8
14.01.2024;26.9;1.2
15.01.2024;34.7;2.0
16.01.2024;32.2;6.0
17.01.2024;36.2;3.2
18.01.2024;26.5;3.5
19.01.2024;7.7;3.9
20.01.2024;25.5;4.4
21.01.2024;26.6;4.4
22.01.2024;38.7;2.6
23.01.2024;35.8;1.3
24.01.2024;42.2;1.2
25.01.2024;38.1;1.3
26.01.2024;42.4;1.4
27.01.2024;19.9;3.7
28.01.2024;27.7;2.7
29.01.2024;36.5;3.1
30.01.2024;32.4;3.4
31.01.2024;32.2;2.8
01.02.2024;31.1;2.7
02.02.2024;31.3;1.8
03.02.2024;23.3;0.9
04.02.2024;24.1;1.2
05.02.2024;33.0;1.9
06.02.2024;27.0;1.3
07.02.2024;20.9;2.5
08.02.2024;21.6;1.7
09.02.2024;17.9;2.3
10.02.2024;11.4;4.0
11.02.2024;8.9;1.1
12.02.2024;18.3;1.5
13.02.2024;27.5;2.5
14.02.2024;28.6;2.3
15.02.2024;22.4;3.6
16.02.2024;23.4;3.0
17.02.2024;22.7;2.3
18.02.2024;18.9;3.1
19.02.2024;15.4;1.9
20.02.2024;7.6;2.5
21.02.2024;14.7;4.4
22.02.2024;20.6;1.9
23.02.2024;12.3;1.6
24.02.2024;10.6;1.5
25.02.2024;11.8;2.1
26.02.2024;12.5;2.8
27.02.2024;21.3;5.9
28.02.2024;17.9;5.7
29.02.2024;16.1;8.1
01.03.2024;17.2;4.2
02.03.2024;12.1;4.1
03.03.2024;9.4;3.9
04.03.2024;13.8;4.7
05.03.2024;13.8;2.8
06.03.2024;5.6;2.2
07.03.2024;13.1;5.2
08.03.2024;17.1;7.0
09.03.2024;7.1;7.4
