Date/heure;Magadino-Cadenazzo;Chaumont
01.01.2024;57.4;75.9
02.01.2024;29.4;87.8
03.01.2024;40.4;87.8
04.01.2024;50.6;84.9
05.01.2024;42.0;80.7
06.01.2024;67.1;75.8
07.01.2024;70.7;47.4
08.01.2024;49.4;55.4
09.01.2024;47.8;48.0
10.01.2024;46.0;76.0
11.01.2024;43.3;67.0
12.01.2024;48.5;89.0
13.01.2024;56.9;96.7
14.01.2024;40.0;94.3
15.01.2024;64.7;91.1
16.01.2024;69.4;75.1
17.01.2024;37.0;83.3
18.01.2024;39.6;86.3
19.01.2024;84.9;78.7
20.01.2024;64.4;84.7
21.01.2024;61.4;87.1
22.01.2024;37.6;89.3
23.01.2024;85.9;84.0
24.01.2024;35.8;77.9
25.01.2024;50.0;68.8
26.01.2024;42.0;76.1
27.01.2024;79.3;88.9
28.01.2024;64.7;92.4
29.01.2024;56.8;81.4
30.01.2024;51.1;83.1
31.01.2024;39.8;85.4
01.02.2024;44.2;76.8
02.02.2024;57.3;101.9
03.02.2024;57.4;102.1
04.02.2024;70.7;85.7
05.02.2024;63.2;84.6
06.02.2024;57.6;79.3
07.02.2024;64.7;80.3
08.02.2024;54.9;79.8
09.02.2024;46.5;74.5
10.02.2024;61.9;80.9
11.02.2024;53.1;84.9
12.02.2024;50.4;77.6
13.02.2024;79.6;83.7
14.02.2024;75.7;84.6
15.02.2024;57.4;83.3
16.02.2024;50.4;74.9
17.02.2024;69.1;72.3
18.02.2024;64.1;78.9
19.02.2024;81.1;75.3
20.02.2024;94.3;80.5
21.02.2024;81.5;87.9
22.02.2024;54.1;100.9
23.02.2024;70.9;96.1
24.02.2024;64.2;86.8
25.02.2024;70.7;84.5
26.02.2024;66.3;80.8
27.02.2024;41.5;75.0
28.02.2024;52.1;74.5
29.02.2024;36.5;71.0
01.03.2024;54.5;81.0
02.03.2024;69.3;82.8
03.03.2024;79.5;78.5
04.03.2024;83.3;70.3
05.03.2024;72.2;87.7
06.03.2024;81.5;81.5
07.03.2024;74.2;68.1
08.03.2024;58.3;81.5
09.03.2024;72.8;88.0
10.03.2024;77.4;90.7
11.03.2024;89.0;85.5
12.03.2024;98.7;80.9
13.03.2024;92.8;78.8
14.03.2024;109.1;83.9
15.03.2024;98.7;90.3
16.03.2024;93.9;89.0
17.03.2024;84.2;92.3
18.03.2024;91.1;89.0
19.03.2024;92.5;88.1
20.03.2024;95.2;91.6
21.03.2024;101.6;101.7
22.03.2024;118.9;106.8
23.03.2024;112.1;96.7
24.03.2024;98.0;88.2
25.03.2024;96.5;90.4
26.03.2024;85.8;98.3
27.03.2024;66.6;92.8
28.03.2024;68.8;100.5
29.03.2024;62.5;92.8
30.03.2024;78.1;91.7
31.03.2024;74.6;93.6
01.04.2024;105.8;92.4
02.04.2024;97.5;101.2
03.04.2024;79.8;99.1
04.04.2024;100.1;91.4
05.04.2024;101.0;105.0
06.04.2024;106.0;117.5
07.04.2024;81.2;109.3
08.04.2024;124.9;99.7
09.04.2024;99.3;102.4
10.04.2024;89.5;93.2
11.04.2024;104.7;93.3
12.04.2024;119.5;115.5
13.04.2024;133.9;123.7
14.04.2024;128.3;102.8
15.04.2024;125.4;97.3
16.04.2024;112.6;98.9
17.04.2024;100.7;97.7
18.04.2024;97.2;94.8
19.04.2024;108.3;92.7
20.04.2024;93.7;88.6
21.04.2024;95.7;96.1
22.04.2024;91.1;92.0
23.04.2024;92.8;93.1
24.04.2024;110.4;100.0
25.04.2024;105.6;99.0
26.04.2024;81.5;96.7
27.04.2024;82.4;106.0
28.04.2024;85.8;108.5
29.04.2024;103.5;106.2
30.04.2024;117.7;118.5
01.05.2024;90.0;114.9
02.05.2024;82.5;81.0
03.05.2024;83.8;94.2
04.05.2024;70.5;96.2
05.05.2024;82.2;92.4
06.05.2024;103.4;93.4
07.05.2024;78.6;99.3
08.05.2024;91.9;99.3
09.05.2024;111.2;87.2
10.05.2024;117.1;116.1
11.05.2024;129.0;122.2
12.05.2024;129.6;126.1
13.05.2024;101.8;114.3
14.05.2024;82.6;108.1
15.05.2024;96.7;102.3
16.05.2024;80.0;85.7
17.05.2024;92.3;80.4
18.05.2024;71.0;99.4
19.05.2024;95.9;102.9
20.05.2024;100.8;102.7
21.05.2024;93.1;102.7
22.05.2024;91.3;99.0
23.05.2024;98.8;99.5
24.05.2024;82.5;95.7
25.05.2024;90.0;98.9
26.05.2024;98.1;94.4
27.05.2024;63.0;79.7
28.05.2024;102.1;98.6
29.05.2024;119.9;93.9
30.05.2024;96.8;90.7
31.05.2024;77.3;94.5
01.06.2024;101.5;88.4
02.06.2024;99.8;91.8
03.06.2024;106.9;89.9
04.06.2024;115.2;98.3
05.06.2024;128.7;111.4
06.06.2024;132.5;109.6
07.06.2024;122.7;103.2
08.06.2024;106.1;106.6
09.06.2024;92.4;96.5
10.06.2024;95.6;96.7
11.06.2024;94.8;85.9
12.06.2024;85.0;96.3
13.06.2024;116.5;106.5
14.06.2024;100.4;108.7
15.06.2024;75.7;83.9
16.06.2024;109.7;80.7
17.06.2024;126.1;80.7
18.06.2024;131.0;117.9
19.06.2024;133.1;117.6
20.06.2024;59.9;109.2
21.06.2024;90.2;108.8
22.06.2024;104.6;81.4
