Date/heure,Magadino-Cadenazzo,Chaumont
01.01.2024,53.6,44.4
02.01.2024,59.8,9.5
03.01.2024,65.2,30.1
04.01.2024,66.0,34.7
05.01.2024,6.7,7.2
06.01.2024,27.7,41.3
07.01.2024,32.8,31.6
08.01.2024,20.5,12.2
09.01.2024,9.5,17.8
10.01.2024,32.5,49.3
11.01.2024,74.1,64.7
12.01.2024,75.4,84.2
13.01.2024,79.0,91.2
14.01.2024,42.9,61.2
15.01.2024,76.3,79.5
16.01.2024,76.3,82.3
17.01.2024,15.7,6.5
18.01.2024,50.4,11.8
19.01.2024,88.6,43.2
20.01.2024,92.1,94.7
21.01.2024,66.3,73.6
22.01.2024,44.8,17.4
23.01.2024,90.2,41.2
24.01.2024,91.4,15.0
25.01.2024,91.9,77.6
26.01.2024,80.8,21.0
27.01.2024,100.5,104.2
28.01.2024,94.4,103.0
29.01.2024,87.2,96.2
30.01.2024,82.4,73.0
31.01.2024,68.1,93.0
01.02.2024,73.7,15.9
02.02.2024,102.1,70.6
03.02.2024,113.5,115.0
04.02.2024,111.1,117.9
05.02.2024,110.7,116.4
06.02.2024,76.2,114.2
07.02.2024,69.1,36.5
08.02.2024,77.9,49.3
09.02.2024,8.7,28.7
10.02.2024,26.2,42.4
11.02.2024,57.8,60.6
12.02.2024,99.8,60.9
13.02.2024,130.7,130.7
14.02.2024,129.3,68.2
15.02.2024,86.7,78.6
16.02.2024,82.1,83.5
17.02.2024,130.6,40.5
18.02.2024,103.8,72.5
19.02.2024,145.9,64.3
20.02.2024,149.2,83.8
21.02.2024,131.4,84.6
22.02.2024,13.5,11.6
23.02.2024,50.9,111.5
24.02.2024,31.0,114.6
25.02.2024,64.6,138.1
26.02.2024,19.6,90.7
27.02.2024,20.9,38.7
28.02.2024,109.8,67.3
29.02.2024,58.3,127.8
01.03.2024,15.4,75.8
02.03.2024,37.6,116.4
03.03.2024,37.7,110.6
04.03.2024,132.1,62.0
05.03.2024,33.8,106.5
06.03.2024,164.1,88.8
07.03.2024,149.1,76.6
08.03.2024,25.5,159.0
09.03.2024,48.6,116.1
10.03.2024,11.5,32.2
11.03.2024,179.3,83.4
12.03.2024,204.2,37.0
13.03.2024,205.9,79.4
14.03.2024,185.5,188.6
15.03.2024,166.5,103.4
16.03.2024,218.6,107.7
17.03.2024,143.4,88.5
18.03.2024,137.2,84.5
19.03.2024,211.1,215.6
20.03.2024,192.5,204.5
21.03.2024,207.8,166.2
22.03.2024,210.5,215.1
23.03.2024,141.1,144.4
24.03.2024,197.7,128.1
25.03.2024,221.1,211.8
26.03.2024,43.2,198.7
27.03.2024,23.8,36.5
28.03.2024,55.2,145.8
29.03.2024,26.8,132.1
30.03.2024,69.4,54.2
31.03.2024,16.2,149.7
01.04.2024,48.8,120.4
02.04.2024,261.7,200.3
03.04.2024,76.4,56.6
04.04.2024,232.7,115.9
05.04.2024,229.3,190.6
06.04.2024,239.1,236.9
07.04.2024,139.5,210.2
08.04.2024,228.6,164.4
09.04.2024,20.2,45.1
10.04.2024,51.7,132.2
11.04.2024,260.0,258.0
12.04.2024,258.8,265.3
13.04.2024,260.7,277.0
14.04.2024,252.6,281.2
15.04.2024,174.4,135.4
16.04.2024,285.4,156.7
17.04.2024,270.4,111.3
18.04.2024,163.1,197.9
19.04.2024,239.5,50.7
20.04.2024,284.5,212.4
21.04.2024,189.8,190.3
22.04.2024,74.3,78.8
23.04.2024,151.5,148.0
24.04.2024,284.5,143.4
25.04.2024,272.0,143.6
26.04.2024,50.6,145.7
27.04.2024,79.5,255.0
28.04.2024,60.3,59.4
29.04.2024,243.5,249.4
