Polluant: Dioxyde d'azote (NO2)
Moyennes horaires
MEZ/CET
Unité: ug/m3
Source: NABEL
Date/heure;Magadino-Cadenazzo;Chaumont
01.01.2024 01:00;21.6;1.0
01.01.2024 02:00;17.4;0.8
01.01.2024 03:00;17.1;0.8
01.01.2024 04:00;15.9;0.8
01.01.2024 05:00;14.2;0.6
01.01.2024 06:00;12.3;0.7
01.01.2024 07:00;9.7;0.7
01.01.2024 08:00;8.6;0.5
01.01.2024 09:00;8.0;0.6
01.01.2024 10:00;6.2;0.5
01.01.2024 11:00;5.6;0.4
01.01.2024 12:00;5.3;0.6
01.01.2024 13:00;5.7;1.0
01.01.2024 14:00;5.5;0.8
01.01.2024 15:00;6.1;1.1
01.01.2024 16:00;10.6;1.5
01.01.2024 17:00;12.7;1.2
01.01.2024 18:00;14.7;1.0
01.01.2024 19:00;17.5;0.8
01.01.2024 20:00;25.0;0.9
01.01.2024 21:00;23.0;0.7
01.01.2024 22:00;21.4;0.7
01.01.2024 23:00;22.4;0.6
02.01.2024 00:00;19.9;0.6
02.01.2024 01:00;17.1;0.9
02.01.2024 02:00;14.9;0.8
02.01.2024 03:00;15.4;0.8
02.01.2024 04:00;13.6;0.6
02.01.2024 05:00;16.9;0.5
02.01.2024 06:00;17.3;0.6
02.01.2024 07:00;13.5;0.5
02.01.2024 08:00;18.5;0.4
02.01.2024 09:00;20.2;0.5
02.01.2024 10:00;17.4;0.7
02.01.2024 11:00;24.7;0.6
02.01.2024 12:00;34.5;0.7
02.01.2024 13:00;28.1;0.8
02.01.2024 14:00;25.0;0.8
02.01.2024 15:00;23.8;0.9
02.01.2024 16:00;27.7;0.7
02.01.2024 17:00;29.6;0.8
02.01.2024 18:00;38.2;1.2
02.01.2024 19:00;41.8;1.4
02.01.2024 20:00;35.8;1.3
02.01.2024 21:00;40.5;1.2
02.01.2024 22:00;37.3;0.8
02.01.2024 23:00;32.2;0.9
03.01.2024 00:00;30.4;0.9
03.01.2024 01:00;28.4;0.9
03.01.2024 02:00;26.9;0.9
03.01.2024 03:00;28.2;0.9
03.01.2024 04:00;27.8;0.8
03.01.2024 05:00;27.4;0.7
03.01.2024 06:00;22.6;0.7
03.01.2024 07:00;23.5;0.6
03.01.2024 08:00;20.6;0.8
03.01.2024 09:00;19.2;0.6
03.01.2024 10:00;24.9;0.6
03.01.2024 11:00;27.9;0.6
03.01.2024 12:00;29.5;0.7
03.01.2024 13:00;15.9;0.8
03.01.2024 14:00;16.1;1.1
03.01.2024 15:00;19.4;1.4
03.01.2024 16:00;34.7;1.4
03.01.2024 17:00;49.1;1.6
03.01.2024 18:00;43.4;1.4
03.01.2024 19:00;40.4;1.1
03.01.2024 20:00;37.9;0.6
03.01.2024 21:00;38.2;0.5
03.01.2024 22:00;38.4;0.4
03.01.2024 23:00;33.4;0.4
