Polluant: Rayonnement global (RAD)
Moyennes horaires
MEZ/CET
Unité: W/m2
Source: NABEL/MeteoSchweiz
Date/heure;Magadino-Cadenazzo;Chaumont
01.01.2024 01:00;0.0;0.0
01.01.2024 02:00;0.0;0.0
01.01.2024 03:00;0.0;0.0
01.01.2024 04:00;0.0;0.0
01.01.2024 05:00;0.0;0.0
01.01.2024 06:00;0.0;0.0
01.01.2024 07:00;0.0;0.0
01.01.2024 08:00;0.0;0.0
01.01.2024 09:00;13.2;8.5
01.01.2024 10:00;49.7;80.5
01.01.2024 11:00;162.0;166.7
01.01.2024 12:00;212.3;179.3
01.01.2024 13:00;283.5;181.7
01.01.2024 14:00;306.8;212.2
01.01.2024 15:00;177.7;138.5
01.01.2024 16:00;69.3;80.0
01.01.2024 17:00;11.3;18.3
01.01.2024 18:00;0.0;0.0
01.01.2024 19:00;0.0;0.0
01.01.2024 20:00;0.0;0.0
01.01.2024 21:00;0.0;0.0
01.01.2024 22:00;0.0;0.0
01.01.2024 23:00;0.0;0.0
02.01.2024 00:00;0.0;0.0
02.01.2024 01:00;0.0;0.0
02.01.2024 02:00;0.0;0.0
02.01.2024 03:00;0.0;0.0
02.01.2024 04:00;0.0;0.0
02.01.2024 05:00;0.0;0.0
02.01.2024 06:00;0.0;0.0
02.01.2024 07:00;0.0;0.0
02.01.2024 08:00;0.0;0.0
02.01.2024 09:00;18.3;0.0
02.01.2024 10:00;88.7;13.7
02.01.2024 11:00;188.0;55.0
02.01.2024 12:00;253.7;67.0
02.01.2024 13:00;311.5;53.2
02.01.2024 14:00;280.5;25.3
02.01.2024 15:00;207.7;11.7
02.01.2024 16:00;75.8;2.2
02.01.2024 17:00;11.8;0.0
02.01.2024 18:00;0.0;0.0
02.01.2024 19:00;0.0;0.0
02.01.2024 20:00;0.0;0.0
02.01.2024 21:00;0.0;0.0
02.01.2024 22:00;0.0;0.0
02.01.2024 23:00;0.0;0.0
03.01.2024 00:00;0.0;0.0
03.01.2024 01:00;0.0;0.0
03.01.2024 02:00;0.0;0.0
03.01.2024 03:00;0.0;0.0
03.01.2024 04:00;0.0;0.0
03.01.2024 05:00;0.0;0.0
03.01.2024 06:00;0.0;0.0
03.01.2024 07:00;0.0;0.0
03.01.2024 08:00;0.0;0.0
03.01.2024 09:00;11.2;6.3
03.01.2024 10:00;29.5;33.5
03.01.2024 11:00;221.2;83.5
03.01.2024 12:00;333.0;99.0
03.01.2024 13:00;358.8;114.7
03.01.2024 14:00;331.5;152.2
03.01.2024 15:00;242.3;150.0
03.01.2024 16:00;28.3;67.3
03.01.2024 17:00;9.5;16.2
03.01.2024 18:00;0.0;0.0
03.01.2024 19:00;0.0;0.0
03.01.2024 20:00;0.0;0.0
03.01.2024 21:00;0.0;0.0
03.01.2024 22:00;0.0;0.0
03.01.2024 23:00;0.0;0.0
04.01.2024 00:00;0.0;0.0
04.01.2024 01:00;0.0;0.0
04.01.2024 02:00;0.0;0.0
04.01.2024 03:00;0.0;0.0
04.01.2024 04:00;0.0;0.0
04.01.2024 05:00;0.0;0.0
04.01.2024 06:00;0.0;0.0
04.01.2024 07:00;0.0;0.0
04.01.2024 08:00;0.0;0.0
