TIME;NO2MAG;NO2CHA;O3MAG;O3CHA;PM10MAG;PM10CHA;PRECMAG;PRECCHA;RADMAG;RADCHA;TEMPMAG;TEMPCHA;WINDDIRCHA;WINDDIRMAG;WINDSPECHA;WINDSPEMAG;PM2.5MAG;SO2MAG
01.01.2024 01:00;21.6;1.0;9.0;75.1;17,1;1,9;0;0;0;0;3,2;0,2;224;74;5;0,5;15.5;0
01.01.2024 02:00;17.4;0.8;9.2;75.5;14,4;1,9;0;0,1;0;0;1,8;0,3;232;354;4,6;0,7;13.2;0
01.01.2024 03:00;17.1;0.8;9.9;73.6;13,7;1,7;0;0,5;0;0;2,4;0,1;243;115;4,3;1,4;12.2;0
01.01.2024 04:00;15.9;0.8;7.7;73.0;12,5;0,9;0;0;0;0;1,1;0,2;242;113;4,8;0,9;11.4;0
01.01.2024 05:00;14.2;0.6;11.3;74.5;9,4;1,2;0;0,1;0;0;0,9;0;237;305;4,2;0,2;8.3;0
01.01.2024 06:00;12.3;0.7;14.6;74.0;7,1;1,8;0;0;0;0;0,7;0,1;247;47;3,3;0,2;6.2;0
01.01.2024 07:00;9.7;0.7;17.7;75.0;5,9;2,9;0;0;0;0;0,7;0,1;248;62;5;2,6;4.9;0
01.01.2024 08:00;8.6;0.5;26.5;75.9;3,1;3,1;0;0;0;0;1,3;0,2;248;104;5;1,1;2.4;0
01.01.2024 09:00;8.0;0.6;32.2;72.6;2,5;4,6;0;0;13,2;8,5;2;0,1;252;97;4,2;2,4;1.7;0
01.01.2024 10:00;6.2;0.5;39.1;74.1;2,1;3,3;0;0;49,7;80,5;2,9;0,2;261;71;2,2;2,3;1.2;0,1
01.01.2024 11:00;5.6;0.4;45.7;72.7;2;3,6;0;0;162;166,7;4,8;0,5;258;83;2,9;3,6;1.5;0
01.01.2024 12:00;5.3;0.6;51.4;71.2;1,7;4,7;0;0,4;212,3;179,3;6,6;0,8;259;59;1,2;2,3;1.1;0,1
01.01.2024 13:00;5.7;1.0;53.0;67.8;2,1;2,5;0;0,2;283,5;181,7;8;0,6;252;63;2,6;1,9;1.3;0,1
01.01.2024 14:00;5.5;0.8;56.2;68.8;2;1,5;0;0,2;306,8;212,2;9,2;1,3;244;104;2,7;2,9;1.4;0,1
01.01.2024 15:00;6.1;1.1;57.4;68.1;2;1,5;0;0;177,7;138,5;9,6;1,4;231;78;2,3;1,9;1.2;0,1
01.01.2024 16:00;10.6;1.5;49.3;67.3;3,1;1,8;0;0;69,3;80;8,6;1,2;261;93;2,2;1,3;1.8;0,1
01.01.2024 17:00;12.7;1.2;33.9;69.9;5,2;1,4;0;0;11,3;18,3;5,1;0,7;253;321;1,6;0,3;3.7;0,1
01.01.2024 18:00;14.7;1.0;25.0;73.2;6,6;3,4;0;0;0;0;2,7;0,6;213;193;2,4;0,6;5.0;0,1
01.01.2024 19:00;17.5;0.8;17.0;73.3;8,9;2,6;0;0;0;0;1,2;0,8;252;158;2;0,5;7.1;0,1
01.01.2024 20:00;25.0;0.9;9.9;70.3;14,1;2,7;0;0;0;0;1,1;0,6;282;169;1,9;0,5;12.1;0,1
01.01.2024 21:00;23.0;0.7;7.1;71.7;17,6;2;0;0;0;0;-0,2;0,6;255;254;2;0,3;15.4;0,1
