Polluant: Rayonnement global (RAD)
Moyennes journalières
Unité: W/m2
Source: NABEL/MeteoSchweiz
Date/heure;Magadino-Cadenazzo;Chaumont
01.12.2024;73.6;81.8
02.12.2024;59.8;19.2
03.12.2024;67.8;46.6
04.12.2024;68.3;43.0
05.12.2024;67.7;44.3
06.12.2024;52.6;22.2
07.12.2024;35.5;10.7
08.12.2024;13.9;32.5
09.12.2024;32.0;7.9
10.12.2024;28.4;15.1
11.12.2024;61.3;18.5
12.12.2024;62.3;24.9
13.12.2024;65.3;69.1
14.12.2024;30.9;15.3
15.12.2024;63.8;55.1
16.12.2024;53.1;70.1
17.12.2024;55.7;60.1
18.12.2024;60.9;35.4
19.12.2024;9.6;9.8
20.12.2024;67.4;49.0
21.12.2024;60.4;37.7
22.12.2024;17.8;12.3
23.12.2024;65.0;16.6
24.12.2024;61.6;60.1
25.12.2024;61.6;71.6
26.12.2024;62.0;74.3
27.12.2024;62.6;75.3
28.12.2024;62.2;75.2
29.12.2024;62.5;76.8
30.12.2024;63.4;78.0
31.12.2024;63.9;76.7
